frame,time,predicted_class,prob_selected_class ,prob_all_classes,prob_0,prob_1,prob_2,prob_3,prob_4,d_x,d_y,d_z
1,0.033,4,0.95,[0.   0.   0.   0.05 0.95],0,0,0,0.05,0.95,0.473455846,0.520098567,-0.535598159
2,0.066,4,0.95,[0.   0.   0.   0.05 0.95],0,0,0,0.05,0.95,0.473350376,0.520150483,-0.704769492
3,0.099,4,0.97,[0.   0.   0.   0.03 0.97],0,0,0,0.03,0.97,0.473294914,0.520152092,-0.664690077
4,0.132,4,0.97,[0.   0.   0.   0.03 0.97],0,0,0,0.03,0.97,0.473341525,0.520355701,-0.645324588
5,0.165,4,0.97,[0.   0.   0.   0.03 0.97],0,0,0,0.03,0.97,0.473337561,0.520355582,-0.55993396
6,0.198,4,0.63,[0.35 0.   0.01 0.01 0.63],0.35,0,0.01,0.01,0.63,0.473307133,0.520328045,-0.472049534
7,0.23,0,1,[1. 0. 0. 0. 0.],1,0,0,0,0,0.473298252,0.520605087,-0.466451705
8,0.263,0,0.6,[0.6  0.01 0.18 0.11 0.1 ],0.6,0.01,0.18,0.11,0.1,0.47324881,0.520861924,-0.502018929
9,0.296,3,0.35,[0.33 0.03 0.15 0.35 0.14],0.33,0.03,0.15,0.35,0.14,0.473246038,0.520903409,-0.53172195
10,0.329,3,0.41,[0.33 0.   0.13 0.41 0.13],0.33,0,0.13,0.41,0.13,0.47329703,0.520598471,-0.525523782
11,0.362,0,0.45,[0.45 0.   0.1  0.36 0.09],0.45,0,0.1,0.36,0.09,0.472898871,0.520561695,-0.478461117
12,0.395,0,0.48,[0.48 0.   0.19 0.33 0.  ],0.48,0,0.19,0.33,0,0.472176135,0.520507514,-0.428130329
13,0.428,3,0.41,[0.25 0.   0.28 0.41 0.06],0.25,0,0.28,0.41,0.06,0.470653623,0.520596325,-0.426127017
14,0.461,2,0.89,[0.01 0.   0.89 0.08 0.02],0.01,0,0.89,0.08,0.02,0.47001186,0.520593464,-0.457686841
15,0.494,2,1,[0. 0. 1. 0. 0.],0,0,1,0,0,0.469601542,0.520669222,-0.428438663
16,0.527,2,1,[0. 0. 1. 0. 0.],0,0,1,0,0,0.468964756,0.52124846,-0.445117414
17,0.56,2,0.97,[0.   0.02 0.97 0.01 0.  ],0,0.02,0.97,0.01,0,0.468407065,0.521600127,-0.43532902
18,0.593,2,0.98,[0.   0.01 0.98 0.01 0.  ],0,0.01,0.98,0.01,0,0.468028545,0.521533728,-0.430103302
19,0.626,2,0.98,[0.02 0.   0.98 0.   0.  ],0.02,0,0.98,0,0,0.467859983,0.521180212,-0.415026277
20,0.659,2,1,[0. 0. 1. 0. 0.],0,0,1,0,0,0.467700064,0.521194458,-0.417900711
21,0.691,2,0.98,[0.02 0.   0.98 0.   0.  ],0.02,0,0.98,0,0,0.467702329,0.521151423,-0.389207214
22,0.724,2,0.99,[0.01 0.   0.99 0.   0.  ],0.01,0,0.99,0,0,0.467716545,0.520848751,-0.387223125
23,0.757,2,0.98,[0.01 0.   0.98 0.01 0.  ],0.01,0,0.98,0.01,0,0.467657804,0.520755529,-0.379977763
24,0.79,2,1,[0. 0. 1. 0. 0.],0,0,1,0,0,0.467386544,0.520824254,-0.383892834
25,0.823,2,0.99,[0.   0.   0.99 0.01 0.  ],0,0,0.99,0.01,0,0.467092931,0.520851731,-0.390167683
26,0.856,2,1,[0. 0. 1. 0. 0.],0,0,1,0,0,0.46709162,0.520807385,-0.426377386
27,0.889,2,0.98,[0.   0.   0.98 0.02 0.  ],0,0,0.98,0.02,0,0.467079699,0.520796657,-0.424966991
28,0.922,2,0.92,[0.   0.   0.92 0.06 0.02],0,0,0.92,0.06,0.02,0.467079699,0.520665944,-0.463622659
29,0.955,2,0.81,[0.   0.   0.81 0.14 0.05],0,0,0.81,0.14,0.05,0.466956079,0.520677984,-0.484541804
30,0.988,2,0.75,[0.   0.   0.75 0.2  0.05],0,0,0.75,0.2,0.05,0.466944635,0.520645797,-0.466117233
31,1.021,3,0.61,[0.03 0.   0.24 0.61 0.12],0.03,0,0.24,0.61,0.12,0.46719116,0.520672441,-0.477629483
32,1.054,3,0.77,[0.07 0.   0.05 0.77 0.11],0.07,0,0.05,0.77,0.11,0.46764192,0.521316409,-0.487085491
33,1.087,3,0.99,[0.   0.   0.   0.99 0.01],0,0,0,0.99,0.01,0.467915714,0.521314859,-0.501483321
34,1.12,3,0.96,[0.   0.   0.   0.96 0.04],0,0,0,0.96,0.04,0.468589008,0.521076262,-0.511636615
35,1.152,3,0.56,[0.06 0.   0.   0.56 0.38],0.06,0,0,0.56,0.38,0.469639063,0.520554662,-0.498525709
36,1.185,4,0.94,[0.01 0.   0.   0.05 0.94],0.01,0,0,0.05,0.94,0.469780922,0.520110905,-0.568029761
37,1.218,4,0.96,[0.   0.   0.   0.04 0.96],0,0,0,0.04,0.96,0.46996218,0.519524992,-0.613933742
38,1.251,4,1,[0. 0. 0. 0. 1.],0,0,0,0,1,0.470306784,0.518828154,-0.603856266
39,1.284,4,1,[0. 0. 0. 0. 1.],0,0,0,0,1,0.470523834,0.518665969,-0.623741508
40,1.317,4,1,[0. 0. 0. 0. 1.],0,0,0,0,1,0.470720619,0.518491149,-0.648759663
41,1.35,4,0.99,[0.01 0.   0.   0.   0.99],0.01,0,0,0,0.99,0.470731348,0.518357992,-0.636638403
42,1.383,4,1,[0. 0. 0. 0. 1.],0,0,0,0,1,0.47073555,0.518351376,-0.65138638
43,1.416,4,1,[0. 0. 0. 0. 1.],0,0,0,0,1,0.470707953,0.518236279,-0.653257966
44,1.449,4,1,[0. 0. 0. 0. 1.],0,0,0,0,1,0.470696837,0.518109679,-0.633425534
45,1.482,4,1,[0. 0. 0. 0. 1.],0,0,0,0,1,0.470647812,0.517894983,-0.634138584
46,1.515,4,1,[0. 0. 0. 0. 1.],0,0,0,0,1,0.470204592,0.517851174,-0.647960305
47,1.548,4,0.98,[0.   0.   0.   0.02 0.98],0,0,0,0.02,0.98,0.469816357,0.517880797,-0.64362514
48,1.581,4,0.97,[0.   0.   0.   0.03 0.97],0,0,0,0.03,0.97,0.469753653,0.517845511,-0.641428292
49,1.613,4,0.97,[0.   0.   0.   0.03 0.97],0,0,0,0.03,0.97,0.469534308,0.517832637,-0.597607017
50,1.646,4,0.98,[0.01 0.   0.   0.01 0.98],0.01,0,0,0.01,0.98,0.469466031,0.517844141,-0.575477362
51,1.679,4,0.94,[0.04 0.   0.01 0.01 0.94],0.04,0,0.01,0.01,0.94,0.469463885,0.517802596,-0.506142795
52,1.712,0,0.96,[0.96 0.   0.02 0.   0.02],0.96,0,0.02,0,0.02,0.469400972,0.517797112,-0.534698248
53,1.745,0,1,[1. 0. 0. 0. 0.],1,0,0,0,0,0.469495922,0.517193496,-0.507574856
54,1.778,0,0.89,[0.89 0.11 0.   0.   0.  ],0.89,0.11,0,0,0,0.469499737,0.516470432,-0.397633165
55,1.811,0,0.85,[0.85 0.14 0.   0.01 0.  ],0.85,0.14,0,0.01,0,0.46947512,0.515323281,-0.376368701
56,1.844,0,0.88,[0.88 0.12 0.   0.   0.  ],0.88,0.12,0,0,0,0.469141543,0.515226066,-0.383306563
57,1.877,0,0.87,[0.87 0.13 0.   0.   0.  ],0.87,0.13,0,0,0,0.469015688,0.515226066,-0.39151901
58,1.91,0,0.88,[0.88 0.11 0.01 0.   0.  ],0.88,0.11,0.01,0,0,0.468952566,0.515682817,-0.414140999
59,1.943,0,0.88,[0.88 0.11 0.01 0.   0.  ],0.88,0.11,0.01,0,0,0.468840927,0.51614821,-0.431697905
60,1.976,0,0.89,[0.89 0.1  0.01 0.   0.  ],0.89,0.1,0.01,0,0,0.468867004,0.516303062,-0.439076662
